date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:45	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Apr%202023%2019:54:48%20GMT	https://vorlie.pl/robots.txt		(from )
15:54:45	4067/4067	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/index.html	(from )
15:54:45	8216/8216	---M--	200	added ('OK')	image/png	etag:%22643514c2-2018%22	https://vorlie.pl/src/img/icon.png	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/img/icon.png	(from https://vorlie.pl/)
15:54:45	4662/4662	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-1236%22	https://vorlie.pl/src/css/style.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/style.css	(from https://vorlie.pl/)
15:54:46	36563/36563	---M--	200	added ('OK')	image/jpeg	etag:%22643514c2-8ed3%22	https://vorlie.pl/src/img/avatar.jpg	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/img/avatar.jpg	(from https://vorlie.pl/)
15:54:46	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/script.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/script.js	(from https://vorlie.pl/)
15:54:47	29358/29358	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2011%20Apr%202023%2019:54:50%20GMT	https://vorlie.pl/cdn-cgi/challenge-platform/h/b/scripts/alpha/invisible.js?ts=	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/cdn-cgi/challenge-platform/h/b/scripts/alpha/invisible5615.js	(from https://vorlie.pl/)
15:54:47	1521/1521	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/r/ugg/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/r/ugg/index.html	(from https://vorlie.pl/)
15:54:47	1509/1509	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/r/instagram/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/r/instagram/index.html	(from https://vorlie.pl/)
15:54:47	1500/1500	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/r/youtube/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/r/youtube/index.html	(from https://vorlie.pl/)
15:54:47	3755/3755	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/spotify/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/index.html	(from https://vorlie.pl/)
15:54:47	3167/3167	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-c5f%22	https://vorlie.pl/src/css/playlistsmain.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/playlistsmain.css	(from https://vorlie.pl/spotify/)
15:54:48	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2019:54:51%20GMT	https://vorlie.pl/spotify/1	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/1	(from https://vorlie.pl/spotify/)
15:54:48	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2019:54:52%20GMT	https://vorlie.pl/spotify/2	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/2	(from https://vorlie.pl/spotify/)
15:54:48	2639/2639	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/spotify/1/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/1/index.html	(from https://vorlie.pl/spotify/)
15:54:48	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2019:54:52%20GMT	https://vorlie.pl/spotify/3	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/3	(from https://vorlie.pl/spotify/)
15:54:48	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2011%20Apr%202023%2019:54:52%20GMT	https://vorlie.pl/spotify/4	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/4	(from https://vorlie.pl/spotify/)
15:54:48	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/spotify.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/spotify.js	(from https://vorlie.pl/spotify/)
15:54:49	2639/2639	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/spotify/2/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/2/index.html	(from https://vorlie.pl/spotify/)
15:54:49	2638/2638	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/spotify/3/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/3/index.html	(from https://vorlie.pl/spotify/)
15:54:49	436/436	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-1b4%22	https://vorlie.pl/src/css/sp1.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/sp1.css	(from https://vorlie.pl/spotify/1/)
15:54:49	2639/2639	---MCZ	200	added ('OK')	text/html	date:Tue,%2011%20Apr%202023%2008:05:22%20GMT	https://vorlie.pl/spotify/4/	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/spotify/4/index.html	(from https://vorlie.pl/spotify/)
15:54:49	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/sp1.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/sp1.js	(from https://vorlie.pl/spotify/1/)
15:54:50	436/436	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-1b4%22	https://vorlie.pl/src/css/sp2.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/sp2.css	(from https://vorlie.pl/spotify/2/)
15:54:50	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/sp2.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/sp2.js	(from https://vorlie.pl/spotify/2/)
15:54:50	436/436	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-1b4%22	https://vorlie.pl/src/css/sp3.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/sp3.css	(from https://vorlie.pl/spotify/3/)
15:54:50	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/sp3.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/sp3.js	(from https://vorlie.pl/spotify/3/)
15:54:51	437/437	---M-Z	200	added ('OK')	text/css	etag:W/%22643514c2-1b5%22	https://vorlie.pl/src/css/sp4.css	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/css/sp4.css	(from https://vorlie.pl/spotify/4/)
15:54:51	2103/2103	---M-Z	200	added ('OK')	application/javascript	etag:W/%22643514c2-837%22	https://vorlie.pl/src/js/sp4.js	C:/My%20Web%20Sites/purplethemesocials/vorlie.pl/src/js/sp4.js	(from https://vorlie.pl/spotify/4/)
